"name","wikipedia_id"
"Angelica","Angelica"
"Savoy cabbage","Savoy cabbage"
"Silver linden","Tilia tomentosa"
"Kiwi","Kiwifruit"
"Allium (Onion)","Allium haematochiton"
"Garden onion","Onion"
"Leek","Leek"
"Garlic","Garlic"
"Chives","Chives"
"Lemon verbena","Aloysia citrodora"
"Cashew nut","Cashew_nut"
"Pineapple","Pineapple"
"Dill","Dill"
"Custard apple","Custard apple"
"Wild celery","Wild celery"
"Peanut","Mr. Peanut"
"Burdock","Arctium_lappa"
"Horseradish","Horseradish"
"Tarragon","Artemisia_dracunculus"
"Mugwort","List of plants named mugwort"
"Asparagus","Asparagus"
"Oat","Oat"
"Star fruit","Averrhoa carambola"
"Brazil nut","Brazil nut"
"Common beet","Beet"
"Borage","Borage"
"Chinese mustard","Brassica juncea"
"Swede","Rutabaga"
"Rape","Rapeseed"
"Common cabbage","Brassica_oleracea"
"Cauliflower","Cauliflower"
"Brussel sprouts","Brussels sprout"
"Kohlrabi","Kohlrabi"
"Broccoli","Broccoli"
"Chinese cabbage","Chinese_cabbage"
"Turnip","Turnip"
"Pigeon pea","Pigeon pea"
"Tea","Tea"
"Capers","Capers"
"Pepper (C. annuum)","Capsicum_annuum"
"Papaya","Papaya"
"Safflower","Safflower"
"Caraway","Caraway"
"Pecan nut","Pecan_nut"
"Chestnut","Chestnut"
"Roman camomile","Chamaemelum nobile"
"Chickpea","Chickpea"
"Endive","Endive"
"Chicory","Chicory"
"Chinese cinnamon","Chinese_cinnamon"
"Ceylon cinnamon","Cinnamomum_verum"
"Watermelon","Watermelon"
"Lime","Citrus_aurantiifolia"
"Lemon","Lemon"
"Pummelo","Pomelo"
"Mandarin orange (Clementine, Tangerine)","Mandarin_orange"
"Sweet orange","Sweet_orange"
"Coffee","Coffee"
"Arabica coffee","Arabica_coffee"
"Robusta coffee","Robusta coffee"
"Coriander","Coriander"
"Common hazelnut","Corylus avellana"
"Saffron","Saffron"
"Muskmelon","Muskmelon"
"Cucumber","Cucumber"
"Cucurbita (Gourd)","Cucurbita"
"Cumin","Cumin"
"Turmeric","Turmeric"
"Quince","Quince"
"Lemon grass","Cymbopogon citratus"
"Globe artichoke","Artichoke"
"Wild carrot","Daucus carota"
"Japanese persimmon","Japanese_persimmon"
"Cardamom","Cardamom"
"Black crowberry","Empetrum nigrum"
"Loquat","Loquat"
"Rocket salad (ssp.)","Rocket_(salad)"
"Wax apple","Wax_apple"
"Common buckwheat","Buckwheat"
"Tartary buckwheat","Fagopyrum tataricum"
"Fig","Ficus_carica"
"Fennel","Fennel"
"Strawberry","Strawberry"
"Black huckleberry","Black_huckleberry"
"Soy bean","Soybean"
"Sunflower","Sunflower"
"Sea-buckthornberry","Hippophae rhamnoides"
"Barley","Barley"
"Hyssop","Hyssop"
"Star anise","Illicium verum"
"Swamp cabbage","Ipomoea_aquatica"
"Sweet potato","Sweet Potato Pie (album)"
"Black walnut","Black_walnut"
"Common walnut","Juglans regia"
"Lettuce","Lettuce"
"Grass pea","Lathyrus sativus"
"Sweet bay","Sweet_bay"
"Lentils","Lentils"
"Garden cress","Garden cress"
"Lovage","Lovage"
"Flaxseed","Flax"
"Mexican oregano","Mexican_oregano"
"Lichee","Lichee"
"Lupine","Lupin"
"Apple","Apple"
"Mango","Mango"
"German camomile","Matricaria chamomilla"
"Lemon balm","Melissa officinalis"
"Mentha (Mint)","Mentha"
"Orange mint","Mentha_citrata"
"Cornmint","Mentha arvensis"
"Spearmint","Spearmint"
"Peppermint","Peppermint"
"Medlar","Medlar"
"Bitter gourd","Bitter melon"
"Mulberry","Mulberry"
"Black mulberry","Black_mulberry"
"Nutmeg","Nutmeg"
"Sweet basil","Sweet_basil"
"Evening primrose","Evening_primrose"
"Olive","Olive"
"Sweet marjoram","Sweet_marjoram"
"Pot marjoram","Pot_marjoram"
"Common oregano","Oregano"
"Rice","Rice"
"Millet","Millet"
"Poppy","Poppy"
"Passion fruit","Passiflora edulis"
"Parsnip","Parsnip"
"Avocado","Avocado"
"Parsley","Parsley"
"Scarlet bean","Phaseolus_coccineus"
"Lima bean","Phaseolus lunatus"
"Common bean","Phaseolus_vulgaris"
"Date","Date_(fruit)#Dates"
"Black chokeberry","Photinia_melanocarpa"
"Anise","Anise"
"Pine nut","Pine nut"
"Pepper (Spice)","Black pepper"
"Pistachio","Pistachio"
"Common pea","Pea"
"Purslane","Purslane"
"Prunus (Cherry, Plum)","Prunus"
"Apricot","Apricot"
"Sweet cherry","Prunus avium"
"Sour cherry","Prunus_cerasus"
"European plum","Prunus_domestica"
"Almond","Prunus_dulcis"
"Peach","Peach"
"Guava","Guava"
"Pomegranate","Pomegranate"
"Pear","Pear"
"Radish","Radish"
"Garden rhubarb","Rhubarb"
"Blackcurrant","Blackcurrant"
"Redcurrant","Redcurrant"
"Gooseberry","Gooseberry"
"Watercress","Watercress"
"Rosemary","Rosemary"
"Rubus (Blackberry, Raspberry)","Rubus"
"Cloudberry","Cloudberry"
"Red raspberry","Red_raspberry"
"Black raspberry","Black raspberry"
"Sorrel","Sorrel"
